,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
31091,"frozenset({'Postpaid Platinum', 'Postpaid Roaming', 'Wireless Broadband', 'DSL'})",frozenset({'Broadband Family'}),0.3638297872340426,0.7585106382978724,0.35,0.9619883040935672,1.268259475242571,0.07403123585332727,6.353027823240575
31093,"frozenset({'Postpaid Platinum', 'Broadband Family', 'Wireless Broadband', 'DSL'})",frozenset({'Postpaid Roaming'}),0.3861702127659574,0.5425531914893617,0.35,0.90633608815427,1.670501809539243,0.14048211860570395,4.883917396745936
31094,"frozenset({'Postpaid Platinum', 'Broadband Family', 'Postpaid Roaming', 'DSL'})",frozenset({'Wireless Broadband'}),0.35319148936170214,0.6202127659574468,0.35,0.9909638554216866,1.5977804873008328,0.13094612947034856,42.02978723404203
31102,"frozenset({'Postpaid Platinum', 'Postpaid Roaming', 'DSL'})","frozenset({'Broadband Family', 'Wireless Broadband'})",0.3680851063829787,0.526595744680851,0.35,0.9508670520231214,1.8056869270742104,0.15616794929832503,9.635168961201503
34360,"frozenset({'Postpaid Platinum', 'Postpaid Roaming', 'Wireless Broadband', 'F2H Fiber'})",frozenset({'Broadband Family'}),0.3180851063829787,0.7585106382978724,0.30531914893617024,0.9598662207357861,1.2654617776881332,0.06404821186057041,6.0171099290780345
34362,"frozenset({'Postpaid Roaming', 'Broadband Family', 'Wireless Broadband', 'F2H Fiber'})",frozenset({'Postpaid Platinum'}),0.3372340425531915,0.5553191489361702,0.30531914893617024,0.9053627760252366,1.6303467614247558,0.11804662743322772,4.698794326241137
34364,"frozenset({'Postpaid Platinum', 'F2H Fiber', 'Broadband Family', 'Postpaid Roaming'})",frozenset({'Wireless Broadband'}),0.32340425531914896,0.6202127659574468,0.30531914893617024,0.944078947368421,1.522185609822154,0.10473970122227255,6.791489361702124
36714,"frozenset({'Postpaid Platinum', 'F2H Fiber', 'Broadband Premium', 'Wireless Broadband'})",frozenset({'DSL'}),0.35319148936170214,0.5468085106382978,0.3180851063829787,0.9006024096385542,1.6470160798837374,0.12495699411498415,4.559381044487427
36715,"frozenset({'Postpaid Platinum', 'F2H Fiber', 'Wireless Broadband', 'DSL'})",frozenset({'Broadband Premium'}),0.32553191489361705,0.7425531914893617,0.3180851063829787,0.9771241830065358,1.3158978968855926,0.07636034404708009,11.254103343464976
36718,"frozenset({'Postpaid Platinum', 'F2H Fiber', 'Broadband Premium', 'DSL'})",frozenset({'Wireless Broadband'}),0.32340425531914896,0.6202127659574468,0.3180851063829787,0.9835526315789472,1.5858310011736028,0.11750565866908103,23.091063829787046
36726,"frozenset({'Postpaid Platinum', 'F2H Fiber', 'DSL'})","frozenset({'Broadband Premium', 'Wireless Broadband'})",0.33085106382978724,0.5702127659574469,0.3180851063829787,0.9614147909967845,1.686063252867495,0.12942960615663193,11.138652482269485
36804,"frozenset({'Postpaid Roaming', 'Broadband Premium', 'Wireless Broadband', 'F2H Fiber'})",frozenset({'DSL'}),0.35319148936170214,0.5468085106382978,0.324468085106383,0.9186746987951807,1.68006656978107,0.1313399728383884,5.5725768321513
36805,"frozenset({'DSL', 'Postpaid Roaming', 'Wireless Broadband', 'F2H Fiber'})",frozenset({'Broadband Premium'}),0.33085106382978724,0.7425531914893617,0.324468085106383,0.9807073954983923,1.3207234266024193,0.07879357175192395,13.34432624113473
36808,"frozenset({'F2H Fiber', 'Broadband Premium', 'Postpaid Roaming', 'DSL'})",frozenset({'Wireless Broadband'}),0.32659574468085106,0.6202127659574468,0.324468085106383,0.993485342019544,1.601846006000637,0.12190923494794026,58.29734042553189
36816,"frozenset({'F2H Fiber', 'Postpaid Roaming', 'DSL'})","frozenset({'Broadband Premium', 'Wireless Broadband'})",0.33297872340425533,0.5702127659574469,0.324468085106383,0.9744408945686901,1.7089075389824042,0.1345993662290629,16.815425531914894
37284,"frozenset({'Postpaid Platinum', 'Postpaid Roaming', 'Broadband Premium', 'Wireless Broadband'})",frozenset({'DSL'}),0.3904255319148936,0.5468085106382978,0.35638297872340424,0.9128065395095368,1.6693349166127718,0.14289497510185606,5.197539893617025
37285,"frozenset({'Postpaid Platinum', 'Postpaid Roaming', 'Wireless Broadband', 'DSL'})",frozenset({'Broadband Premium'}),0.3638297872340426,0.7425531914893617,0.35638297872340424,0.9795321637426899,1.3191407362723904,0.0862200090538705,12.57811550151967
37288,"frozenset({'Postpaid Platinum', 'Broadband Premium', 'Postpaid Roaming', 'DSL'})",frozenset({'Wireless Broadband'}),0.3606382978723404,0.6202127659574468,0.35638297872340424,0.9882005899705014,1.5933251364876009,0.1327105024898144,32.18696808510624
37296,"frozenset({'Postpaid Platinum', 'Postpaid Roaming', 'DSL'})","frozenset({'Broadband Premium', 'Wireless Broadband'})",0.3680851063829787,0.5702127659574469,0.35638297872340424,0.9682080924855492,1.6979768786127167,0.14649615210502487,13.518762088974873
40534,"frozenset({'Postpaid Platinum', 'Postpaid Roaming', 'Wireless Broadband', 'F2H Fiber'})",frozenset({'Broadband Premium'}),0.3180851063829787,0.7425531914893617,0.3127659574468085,0.9832775919732442,1.3241847227146841,0.07657084653689453,15.39531914893618
40538,"frozenset({'Postpaid Platinum', 'F2H Fiber', 'Broadband Premium', 'Postpaid Roaming'})",frozenset({'Wireless Broadband'}),0.3382978723404255,0.6202127659574468,0.3127659574468085,0.9245283018867925,1.4906631282565779,0.10294929832503397,5.032180851063831
40545,"frozenset({'Postpaid Platinum', 'F2H Fiber', 'Postpaid Roaming'})","frozenset({'Broadband Premium', 'Wireless Broadband'})",0.3446808510638298,0.5702127659574469,0.3127659574468085,0.9074074074074074,1.5913488114980652,0.11622453598913535,4.641702127659576
91402,"frozenset({'Wireless Broadband', 'Postpaid Platinum', 'F2H Fiber', 'Broadband Premium', 'Broadband Family'})",frozenset({'DSL'}),0.33404255319148934,0.5468085106382978,0.3074468085106383,0.9203821656050957,1.6831891744528988,0.12478949751018564,5.692085106382988
91403,"frozenset({'Wireless Broadband', 'Postpaid Platinum', 'F2H Fiber', 'Broadband Premium', 'DSL'})",frozenset({'Broadband Family'}),0.3180851063829787,0.7585106382978724,0.3074468085106383,0.9665551839464884,1.2742803266615697,0.0661758714350385,7.2205319148936455
91404,"frozenset({'Wireless Broadband', 'Postpaid Platinum', 'F2H Fiber', 'Broadband Family', 'DSL'})",frozenset({'Broadband Premium'}),0.31382978723404253,0.7425531914893617,0.3074468085106383,0.9796610169491526,1.3193142635131854,0.07441149841557268,12.657801418439776
91407,"frozenset({'Postpaid Platinum', 'F2H Fiber', 'Broadband Premium', 'Broadband Family', 'DSL'})",frozenset({'Wireless Broadband'}),0.31063829787234043,0.6202127659574468,0.3074468085106383,0.9897260273972603,1.5957846753918092,0.11478497057492082,36.965957446808765
91409,"frozenset({'Postpaid Platinum', 'F2H Fiber', 'Broadband Family', 'Wireless Broadband'})","frozenset({'Broadband Premium', 'DSL'})",0.3414893617021277,0.5063829787234042,0.3074468085106383,0.9003115264797508,1.7779261237205164,0.13452240832956092,4.951595744680851
91410,"frozenset({'Postpaid Platinum', 'F2H Fiber', 'Wireless Broadband', 'DSL'})","frozenset({'Broadband Premium', 'Broadband Family'})",0.32553191489361705,0.6031914893617021,0.3074468085106383,0.9444444444444444,1.565745639819714,0.11108872793119062,7.142553191489359
91419,"frozenset({'Postpaid Platinum', 'F2H Fiber', 'Broadband Premium', 'DSL'})","frozenset({'Broadband Family', 'Wireless Broadband'})",0.32340425531914896,0.526595744680851,0.3074468085106383,0.9506578947368421,1.805289739500266,0.137143503847895,9.59432624113476
91420,"frozenset({'Postpaid Platinum', 'F2H Fiber', 'Broadband Family', 'DSL'})","frozenset({'Broadband Premium', 'Wireless Broadband'})",0.3170212765957447,0.5702127659574469,0.3074468085106383,0.9697986577181209,1.700766302714615,0.12667722951561794,14.23073286052014
